Id,Date,Delta T [min],Sensor,Calibration,User,Oxygen,Oxygen Unit,Temperature,Temperature Unit,Pressure,Pressure Unit,Mode,Salinity [pmil],User Signal Intensity,Error,Phase [¡],Amplitude [µV],Reference Amplitude [µV],Signal LED Current,Reference LED Current,Battery [V]
221614,4/10/17 9:38:03,0.000,Oxy11 (PSt7-10),30/9/17 18:06:12,default,168.130,_mol/L,32.998,¡C,1028.000,hPa,Humid,38,0,0,20.606,149306,317110.06,34.30,55.00,#N/A
221615,4/10/17 9:38:05,0.000,Oxy11 (PSt7-10),30/9/17 18:06:12,default,168.270,_mol/L,32.984,¡C,1028.000,hPa,Humid,38,0,0,20.602,149240,317067.62,34.30,55.00,#N/A
221616,4/10/17 9:38:06,0.041,Oxy11 (PSt7-10),30/9/17 18:06:12,default,168.421,_mol/L,32.964,¡C,1028.000,hPa,Humid,38,0,0,20.600,149184,317036.89,34.30,55.00,#N/A
221617,4/10/17 9:38:07,0.058,Oxy11 (PSt7-10),30/9/17 18:06:12,default,168.521,_mol/L,32.954,¡C,1028.000,hPa,Humid,38,0,0,20.597,149170,317025.77,34.30,55.00,#N/A
221618,4/10/17 9:38:08,0.074,Oxy11 (PSt7-10),30/9/17 18:06:12,default,168.106,_mol/L,33.028,¡C,1028.000,hPa,Humid,38,0,0,20.596,149145,317006.12,34.30,55.00,#N/A
221619,4/10/17 9:38:09,0.091,Oxy11 (PSt7-10),30/9/17 18:06:12,default,168.036,_mol/L,33.035,¡C,1028.000,hPa,Humid,38,0,0,20.598,149144,316993.72,34.30,55.00,#N/A
221620,4/10/17 9:38:10,0.108,Oxy11 (PSt7-10),30/9/17 18:06:12,default,168.330,_mol/L,33.000,¡C,1028.000,hPa,Humid,38,0,0,20.592,149133,316987.17,34.30,55.00,#N/A
221621,4/10/17 9:38:11,0.124,Oxy11 (PSt7-10),30/9/17 18:06:12,default,168.449,_mol/L,32.985,¡C,1028.000,hPa,Humid,38,0,0,20.590,149059,316970.38,34.30,55.00,#N/A
221622,4/10/17 9:38:12,0.141,Oxy11 (PSt7-10),30/9/17 18:06:12,default,168.238,_mol/L,33.024,¡C,1028.000,hPa,Humid,38,0,0,20.589,149033,316972.12,34.30,55.00,#N/A
221623,4/10/17 9:38:13,0.158,Oxy11 (PSt7-10),30/9/17 18:06:12,default,168.403,_mol/L,33.009,¡C,1028.000,hPa,Humid,38,0,0,20.584,149008,316969.15,34.30,55.00,#N/A
221624,4/10/17 9:38:14,0.174,Oxy11 (PSt7-10),30/9/17 18:06:12,default,168.493,_mol/L,33.004,¡C,1028.000,hPa,Humid,38,0,0,20.580,148992,316957.89,34.30,55.00,#N/A
221625,4/10/17 9:38:15,0.191,Oxy11 (PSt7-10),30/9/17 18:06:12,default,168.466,_mol/L,33.008,¡C,1028.000,hPa,Humid,38,0,0,20.580,148944,316968.68,34.30,55.00,#N/A
221626,4/10/17 9:38:16,0.208,Oxy11 (PSt7-10),30/9/17 18:06:12,default,168.397,_mol/L,33.018,¡C,1028.000,hPa,Humid,38,0,0,20.581,148953,316964.29,34.30,55.00,#N/A
221627,4/10/17 9:38:17,0.224,Oxy11 (PSt7-10),30/9/17 18:06:12,default,168.612,_mol/L,32.999,¡C,1028.000,hPa,Humid,38,0,0,20.574,148967,316969.31,34.30,55.00,#N/A
221628,4/10/17 9:38:18,0.241,Oxy11 (PSt7-10),30/9/17 18:06:12,default,168.377,_mol/L,33.042,¡C,1028.000,hPa,Humid,38,0,0,20.573,148945,316962.50,34.30,55.00,#N/A
221629,4/10/17 9:38:19,0.257,Oxy11 (PSt7-10),30/9/17 18:06:12,default,168.474,_mol/L,33.031,¡C,1028.000,hPa,Humid,38,0,0,20.571,148910,316947.74,34.30,55.00,#N/A
221630,4/10/17 9:38:20,0.274,Oxy11 (PSt7-10),30/9/17 18:06:12,default,168.476,_mol/L,33.036,¡C,1028.000,hPa,Humid,38,0,0,20.569,148873,316956.21,34.30,55.00,#N/A
221631,4/10/17 9:38:21,0.291,Oxy11 (PSt7-10),30/9/17 18:06:12,default,168.568,_mol/L,33.025,¡C,1028.000,hPa,Humid,38,0,0,20.567,148871,316961.54,34.30,55.00,#N/A
